timestamp,source_ip,dest_port,packet_size,failed_logins,status_code,label
2026-07-24 17:42:30.564468,212.71.236.250,80,1449,0,200,Safe
2026-07-24 17:30:00.564468,122.175.3.210,443,1356,0,200,Safe
2026-07-24 17:22:15.564468,153.54.116.10,443,1407,0,200,Safe
2026-07-24 17:10:57.564468,120.27.63.124,80,1104,0,200,Safe
2026-07-24 17:48:40.564468,109.123.226.46,80,274,0,200,Safe
2026-07-24 17:05:34.564468,52.253.58.230,443,3694,0,500,SQL_Injection
2026-07-24 17:47:08.564468,165.78.234.106,80,934,0,200,Safe
2026-07-24 17:44:03.564468,152.168.34.117,80,248,0,200,Safe
2026-07-24 17:32:17.564468,6.122.30.186,80,765,0,200,Safe
2026-07-24 17:17:54.564468,21.162.22.155,22,1407,15,401,Brute_Force
2026-07-24 17:55:23.564468,151.93.53.244,80,1476,0,200,Safe
2026-07-24 17:16:07.564468,197.233.83.211,443,1209,0,200,Safe
2026-07-24 17:53:18.564468,208.153.244.239,443,215,0,200,Safe
2026-07-24 17:05:19.564468,222.242.51.71,80,909,0,200,Safe
2026-07-24 17:40:34.564468,105.88.220.143,80,1321,0,200,Safe
2026-07-24 17:53:55.564468,165.20.2.20,443,721,0,200,Safe
2026-07-24 17:38:13.564468,21.245.250.47,80,1428,0,200,Safe
2026-07-24 17:41:58.564468,167.91.66.121,80,455,0,200,Safe
2026-07-24 17:38:34.564468,83.63.38.161,80,1320,0,200,Safe
2026-07-24 17:21:55.564468,82.32.231.75,443,1446,0,200,Safe
2026-07-24 17:37:22.564468,67.127.137.189,443,855,0,200,Safe
2026-07-24 17:24:37.564468,51.132.73.16,443,841,0,200,Safe
2026-07-24 17:50:28.564468,55.243.85.208,80,309,0,200,Safe
2026-07-24 17:09:46.564468,59.218.35.169,80,189,0,200,Safe
2026-07-24 17:11:19.564468,19.24.142.70,80,424,0,200,Safe
2026-07-24 17:54:28.564468,3.98.246.13,443,648,0,200,Safe
2026-07-24 17:34:48.564468,187.76.212.131,29429,843,0,403,Port_Scan
